adoption_id,age_years,size,weight_kg,breed_group,intake_type,days_in_shelter,previously_returned,medical_needs,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,home_type,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch,return_reason,days_to_return,returned
ADP000018,1.1,xlarge,36.2,herding,stray,15,0,none,1,2.1,2.1,3.1,7.0,5.2,0,0,0,0,house_owned,1,1.2,4.9,1,0,0,7.5,2.1,0,kept,,0
ADP000019,4.8,small,8.7,sporting,owner_surrender,10,0,minor,1,0.0,0.0,3.1,6.6,6.9,0,0,0,0,house_rented,1,5.5,3.7,2,0,1,7.7,2.9,0,kept,,0
ADP000020,1.8,small,7.2,mixed,owner_surrender,24,0,minor,1,3.6,0.0,4.1,5.8,4.5,1,0,0,1,house_rented,0,8.7,1.5,2,0,1,9.8,4.3,0,kept,,0
ADP000021,3.6,large,34.7,mixed,owner_surrender,6,0,none,1,2.6,2.1,2.8,5.9,4.4,1,0,0,0,apartment,0,12.5,9.4,3,0,0,5.9,3.5,1,kept,,0
ADP000022,1.7,large,33.6,hound,stray,39,0,none,1,1.8,0.0,2.4,8.4,6.1,1,1,0,0,house_owned,1,7.9,3.2,1,0,0,7.0,5.2,0,kept,,0
ADP000023,3.2,small,7.8,working,stray,6,1,none,1,3.0,3.0,5.5,5.4,1.8,0,0,0,1,apartment,1,6.1,4.2,2,1,0,1.6,1.2,0,conflict_with_resident_pets,5.7,1
ADP000024,3.9,large,31.2,sporting,transfer,43,0,none,1,2.5,2.4,0.8,6.9,1.3,0,0,1,1,house_rented,1,6.0,6.5,3,0,1,9.6,0.4,0,kept,,0
ADP000025,1.4,large,22.0,mixed,transfer,12,0,minor,1,0.1,3.1,1.2,9.0,7.4,0,0,0,1,house_rented,1,9.0,4.7,1,0,0,7.0,4.3,0,kept,,0
ADP000026,7.2,small,9.5,mixed,owner_surrender,14,0,none,1,0.0,4.9,1.0,0.2,4.4,0,1,0,1,house_owned,0,7.7,7.5,1,0,0,5.0,7.3,0,kept,,0
ADP000027,1.8,medium,20.9,mixed,owner_surrender,51,0,minor,1,1.2,1.0,1.8,3.4,4.6,0,0,0,0,apartment,0,8.6,6.2,1,0,0,8.5,2.8,0,kept,,0
ADP000028,4.9,small,5.5,terrier,transfer,24,1,none,0,3.4,4.1,2.2,4.9,3.9,0,1,0,0,house_rented,1,8.7,4.2,1,0,0,6.7,0.7,0,kept,,0
ADP000029,6.3,medium,14.6,terrier,stray,72,0,none,1,3.0,6.0,3.0,6.2,6.3,1,0,1,0,house_rented,1,6.2,10.0,1,0,1,6.8,3.8,0,housing_landlord,17.9,1
ADP000030,3.3,small,6.3,sporting,owner_surrender,63,0,chronic,1,4.5,3.7,7.2,6.2,5.8,0,0,1,1,apartment,0,7.3,2.7,3,0,0,10.0,3.5,0,housing_landlord,8.2,1
ADP000031,0.6,small,4.6,mixed,stray,53,0,none,1,3.0,3.8,3.2,5.1,8.2,0,1,0,0,house_owned,1,4.1,3.9,1,0,0,5.7,1.2,0,kept,,0
ADP000032,1.7,medium,19.9,terrier,owner_surrender,12,0,minor,1,4.3,4.1,0.0,6.7,5.2,1,0,0,1,apartment,0,7.8,3.4,1,1,0,8.4,3.3,0,kept,,0
ADP000033,2.8,large,32.6,terrier,stray,6,0,none,1,1.7,4.1,5.0,4.3,2.5,1,0,0,0,house_owned,0,8.7,4.2,1,0,1,7.7,0.1,0,kept,,0
ADP000034,0.6,large,31.1,mixed,stray,24,0,minor,1,0.3,3.7,2.5,6.1,7.3,1,0,1,0,house_owned,1,5.9,3.5,2,0,1,5.7,2.6,0,kept,,0
ADP000035,1.6,small,6.4,mixed,owner_surrender,28,0,none,1,0.0,0.9,6.8,6.1,4.7,0,0,1,0,house_owned,1,13.1,4.3,2,0,0,7.3,1.8,0,kept,,0
ADP000036,5.4,medium,14.5,toy,owner_surrender,6,0,none,1,3.6,0.9,7.5,6.7,6.2,1,0,1,1,house_rented,1,5.6,3.3,2,1,1,8.7,3.4,0,kept,,0
ADP000037,2.1,medium,17.7,working,owner_surrender,27,0,none,1,5.0,5.2,1.7,7.1,6.5,1,0,1,0,house_rented,0,10.8,4.3,2,0,1,9.1,2.8,0,kept,,0
ADP000038,1.3,medium,24.6,mixed,born_in_care,16,0,none,1,0.0,7.0,4.2,6.6,5.3,0,0,1,0,apartment,0,4.6,6.1,1,0,0,5.3,0.5,0,kept,,0
ADP000039,1.3,xlarge,49.4,mixed,stray,28,0,none,1,4.4,6.9,0.9,5.8,2.2,0,1,1,0,house_owned,0,2.7,2.4,1,0,0,2.8,3.4,0,kept,,0
ADP000040,3.1,medium,16.2,herding,transfer,58,1,minor,1,1.7,7.6,6.4,8.9,3.6,1,0,0,1,house_owned,1,7.4,8.8,2,0,0,7.0,0.1,0,kept,,0
ADP000041,3.7,medium,17.0,toy,owner_surrender,41,0,none,1,1.3,5.3,2.7,7.1,7.0,0,1,0,0,house_rented,1,10.3,7.7,3,0,1,5.4,0.6,0,kept,,0
ADP000042,2.7,medium,17.8,hound,stray,39,0,none,1,2.6,1.5,4.1,8.8,6.4,0,0,0,0,house_owned,1,6.2,7.5,1,0,0,10.0,1.3,0,unmet_expectations,6.1,1
ADP000043,4.9,medium,20.0,hound,transfer,14,1,none,1,1.8,9.9,4.7,6.8,4.6,0,0,0,0,house_rented,1,2.2,4.4,3,0,0,6.9,2.4,0,kept,,0
ADP000044,4.8,medium,18.2,terrier,stray,15,0,none,1,0.8,7.2,6.3,7.3,3.0,1,1,0,1,apartment,0,7.3,7.8,2,1,0,6.3,0.5,0,kept,,0
ADP000045,1.5,small,6.2,mixed,owner_surrender,129,0,none,1,2.6,7.2,2.9,4.7,8.1,0,0,1,0,house_owned,1,3.9,8.2,2,0,0,5.7,3.5,0,kept,,0
ADP000046,1.5,large,29.7,toy,owner_surrender,60,0,none,1,0.6,4.0,0.0,7.7,4.6,0,0,1,0,house_rented,0,7.5,3.2,2,0,1,3.3,4.5,0,kept,,0
ADP000047,5.8,xlarge,40.5,mixed,stray,19,0,minor,1,5.3,2.1,4.9,3.3,7.9,1,0,0,1,house_owned,1,5.2,5.8,2,0,0,4.9,2.5,0,kept,,0
ADP000048,6.2,medium,14.6,sporting,born_in_care,20,0,none,1,3.3,4.0,3.4,7.6,3.2,0,0,1,0,apartment,0,7.6,5.7,2,0,1,2.6,1.9,0,conflict_with_resident_pets,40.9,1
ADP000049,3.5,large,34.4,sporting,owner_surrender,15,0,none,1,0.2,2.9,2.2,4.1,4.6,0,0,0,1,apartment,0,6.0,7.4,1,1,1,6.9,3.3,1,kept,,0
ADP000050,0.7,medium,18.6,sporting,born_in_care,75,0,none,1,2.9,1.9,3.2,6.4,6.8,1,0,0,0,house_owned,0,6.8,3.2,4,0,1,5.8,3.2,0,kept,,0
ADP000051,8.1,large,28.7,toy,owner_surrender,134,0,none,1,5.0,5.5,4.4,7.0,6.9,1,0,1,1,apartment,0,8.9,8.6,1,1,0,4.7,1.6,1,conflict_with_resident_pets,1.0,1
ADP000052,2.4,medium,16.6,terrier,stray,47,0,none,1,0.8,3.1,4.4,9.4,4.7,1,0,1,1,house_owned,1,6.9,3.5,2,1,0,4.1,5.9,0,kept,,0
ADP000053,3.6,small,6.5,mixed,owner_surrender,19,1,minor,1,3.0,6.7,2.5,7.1,2.5,0,0,0,1,house_owned,0,0.0,4.8,1,0,1,7.3,2.3,0,kept,,0
ADP000054,1.0,large,31.4,herding,stray,56,0,none,1,1.3,5.5,0.0,6.3,4.6,1,0,1,0,house_owned,1,7.7,7.0,1,0,1,8.4,0.7,0,kept,,0
ADP000055,1.9,small,4.2,mixed,stray,37,0,minor,1,3.0,5.5,4.8,4.7,2.8,0,0,1,0,apartment,0,11.0,1.3,1,0,0,4.9,3.4,0,kept,,0
ADP000056,2.5,small,3.8,mixed,stray,25,0,none,0,2.5,2.9,4.4,5.5,2.3,1,0,0,1,apartment,0,3.5,5.1,1,1,0,6.0,0.4,0,kept,,0
ADP000057,3.1,medium,17.9,toy,owner_surrender,12,1,none,1,5.4,3.1,7.7,3.8,8.5,1,0,1,0,house_owned,1,8.0,3.1,1,0,0,5.2,0.7,0,kept,,0
ADP000058,1.4,small,5.0,sporting,stray,3,1,minor,1,3.3,3.0,3.3,6.1,6.9,1,0,0,1,apartment,0,5.1,7.4,4,0,1,7.5,1.3,0,kept,,0
ADP000059,3.6,medium,15.5,hound,transfer,16,0,chronic,1,3.4,0.0,3.4,7.6,3.7,1,0,0,1,apartment,0,1.1,2.7,1,1,0,7.7,4.9,0,kept,,0
ADP000060,5.2,medium,17.4,working,stray,63,0,none,1,0.0,1.9,0.5,8.1,6.5,1,0,1,0,house_owned,0,1.8,9.3,1,0,0,2.9,1.2,0,kept,,0
ADP000061,1.5,medium,17.4,herding,owner_surrender,114,0,none,1,5.8,8.5,4.1,8.8,5.3,0,0,1,0,house_owned,1,4.0,10.0,2,0,0,8.2,1.2,0,kept,,0
ADP000062,5.4,medium,18.8,herding,owner_surrender,47,0,none,1,0.0,0.0,0.9,8.8,5.4,0,0,0,1,house_owned,1,6.2,5.1,1,0,0,7.2,3.7,0,kept,,0
ADP000063,5.1,small,7.2,working,transfer,29,0,none,1,1.8,8.3,4.2,5.2,3.2,0,0,0,1,house_owned,1,3.3,2.4,2,0,0,8.1,2.8,0,kept,,0
ADP000064,4.8,large,37.0,herding,owner_surrender,52,0,none,1,6.4,6.9,4.5,6.5,3.3,0,0,0,1,house_rented,0,4.8,6.9,2,0,1,7.9,0.4,0,kept,,0
ADP000065,2.1,small,6.1,hound,stray,23,0,none,1,2.0,6.8,5.1,6.0,3.5,1,0,0,1,house_rented,0,8.2,4.6,3,1,1,8.2,1.4,0,kept,,0
ADP000066,1.5,medium,18.4,mixed,owner_surrender,48,1,minor,1,5.9,3.5,5.8,8.6,5.3,0,0,0,0,house_owned,1,4.5,0.4,1,0,0,6.6,8.2,0,kept,,0
ADP000067,2.3,medium,18.6,mixed,owner_surrender,30,0,none,1,4.2,7.9,2.4,4.0,4.4,1,0,0,0,house_owned,1,3.8,6.2,1,0,0,9.3,2.2,0,kept,,0
ADP000068,2.3,large,21.4,herding,transfer,13,1,minor,1,3.1,3.8,2.2,6.6,6.2,1,1,1,1,house_owned,1,8.1,3.2,1,0,0,3.8,3.4,0,kept,,0
ADP000069,5.2,large,33.2,sporting,stray,16,0,minor,1,3.1,1.5,5.9,4.3,0.7,0,1,0,1,apartment,0,11.4,3.7,2,1,0,3.3,0.6,1,kept,,0
ADP000070,5.8,small,5.5,terrier,stray,17,0,none,1,4.3,6.5,4.2,5.8,6.6,0,1,1,1,house_owned,1,3.9,6.4,2,0,1,8.7,0.6,0,conflict_with_resident_pets,7.0,1
ADP000071,5.1,large,29.7,mixed,stray,34,1,minor,1,2.2,2.3,2.8,7.2,1.0,0,0,1,1,apartment,1,3.9,9.8,2,0,1,7.6,2.6,1,kept,,0
ADP000072,3.5,small,10.7,working,stray,18,0,none,1,1.5,1.4,2.7,7.9,4.7,1,1,0,0,house_owned,1,5.1,5.1,1,0,0,5.6,2.8,0,kept,,0
ADP000073,7.7,small,7.0,sporting,owner_surrender,21,1,chronic,1,4.7,7.3,4.0,3.6,3.3,1,1,1,0,apartment,0,6.4,5.5,1,0,1,6.7,1.9,0,kept,,0
ADP000074,5.6,medium,17.2,mixed,owner_surrender,46,0,none,1,0.0,0.5,7.5,6.7,4.0,0,0,0,0,apartment,0,10.5,7.1,1,0,0,5.2,0.4,0,kept,,0
ADP000075,5.9,large,21.9,toy,transfer,53,0,none,1,0.1,2.4,0.6,4.0,4.9,0,0,1,1,apartment,0,5.5,7.3,2,0,0,9.9,3.3,1,kept,,0
ADP000076,4.6,medium,23.3,mixed,stray,20,0,chronic,1,0.1,1.5,0.7,5.3,4.7,1,1,0,1,house_rented,1,2.8,10.0,1,0,0,3.4,4.7,0,kept,,0
ADP000077,6.6,small,6.8,hound,transfer,32,0,minor,1,0.5,5.0,4.1,6.3,6.1,1,0,0,1,apartment,0,8.0,5.4,2,1,0,3.8,0.9,0,kept,,0
ADP000078,7.1,medium,13.6,mixed,stray,24,1,minor,1,6.1,10.0,5.4,8.2,5.1,0,0,1,0,house_owned,1,6.0,4.2,1,0,0,5.7,4.0,0,kept,,0
ADP000079,4.0,medium,16.4,mixed,stray,21,0,none,1,1.5,3.5,3.3,6.4,2.0,0,0,1,1,house_owned,1,6.6,7.1,1,0,1,5.6,0.7,0,kept,,0
ADP000080,5.2,small,7.9,terrier,owner_surrender,12,0,none,1,0.9,0.0,4.8,5.8,2.9,1,0,0,0,apartment,1,8.4,8.7,1,0,0,3.7,2.9,0,kept,,0
ADP000081,4.9,large,22.9,toy,stray,49,1,none,1,2.0,5.8,5.8,5.2,0.0,0,1,0,0,house_owned,1,0.6,7.8,1,0,0,4.6,2.6,0,kept,,0
ADP000082,6.1,medium,18.0,toy,born_in_care,8,1,none,1,1.8,4.3,4.6,7.8,7.6,0,0,0,1,house_owned,1,8.2,5.0,1,1,0,6.8,2.8,0,kept,,0
ADP000083,3.0,medium,26.0,sporting,stray,106,0,none,1,0.0,3.2,2.4,4.9,5.4,1,0,0,0,apartment,0,4.7,7.7,2,0,0,7.5,2.8,0,kept,,0
ADP000084,1.9,medium,21.3,herding,stray,86,0,chronic,1,5.7,5.5,5.9,6.7,10.0,1,1,1,0,apartment,0,7.9,4.9,2,0,1,7.1,1.8,0,aggression,4.0,1
ADP000085,6.0,medium,16.6,mixed,stray,23,0,none,1,0.1,4.2,3.2,8.3,6.6,1,0,1,1,house_rented,0,7.1,4.6,2,0,0,6.3,3.7,0,kept,,0
ADP000086,3.1,large,24.1,mixed,owner_surrender,35,0,none,1,5.6,8.4,0.0,4.9,3.2,0,0,0,0,apartment,0,2.5,5.2,1,0,0,6.3,0.3,1,unmet_expectations,1.9,1
ADP000087,4.4,medium,15.3,working,stray,30,0,none,1,1.4,1.2,0.9,6.3,2.8,1,1,1,1,apartment,0,0.3,4.1,1,0,1,4.7,2.2,0,cost_time,67.1,1
ADP000088,2.1,small,8.9,mixed,stray,15,0,minor,1,1.9,4.3,4.3,7.5,6.5,0,0,0,0,house_rented,1,0.7,7.9,1,0,0,8.7,0.4,0,kept,,0
ADP000089,6.6,xlarge,27.0,hound,born_in_care,30,0,chronic,1,4.5,5.0,2.5,2.8,4.1,1,0,1,0,house_rented,1,6.0,7.4,1,0,0,5.3,4.6,0,kept,,0
ADP000090,7.3,large,33.1,sporting,owner_surrender,25,0,none,0,2.8,6.2,1.3,3.6,7.2,1,0,0,0,house_rented,1,1.1,2.7,4,0,0,6.1,0.9,0,kept,,0
ADP000091,2.9,medium,29.6,mixed,born_in_care,30,0,minor,1,2.7,1.7,2.7,5.9,5.8,0,1,0,1,house_rented,0,9.5,3.9,1,1,0,8.8,2.0,0,unmet_expectations,7.3,1
ADP000092,2.4,small,4.6,hound,stray,10,0,none,1,1.2,2.7,7.1,7.8,2.3,0,0,1,1,apartment,0,9.4,5.7,2,1,0,8.0,2.1,0,kept,,0
ADP000093,4.4,small,5.7,herding,owner_surrender,23,1,none,1,0.0,3.4,1.8,5.9,4.2,1,1,0,0,house_rented,1,1.9,0.4,2,0,0,4.8,5.5,0,kept,,0
ADP000094,8.1,large,25.2,toy,owner_surrender,31,0,minor,1,2.5,4.4,1.6,6.0,1.3,1,0,0,0,house_owned,1,8.1,4.4,3,0,0,6.7,1.6,0,kept,,0
ADP000095,5.4,large,26.5,sporting,stray,19,0,minor,1,2.1,2.3,1.8,10.0,6.1,1,0,1,0,house_rented,1,10.7,3.7,1,0,0,9.2,6.3,0,kept,,0
ADP000096,1.6,large,37.1,herding,owner_surrender,83,0,minor,1,5.7,8.2,4.6,9.1,4.7,0,1,0,1,house_owned,1,5.5,6.9,1,0,0,6.5,2.2,0,kept,,0
ADP000097,0.7,xlarge,38.1,mixed,stray,21,0,minor,1,1.0,4.3,1.3,10.0,6.3,0,0,0,1,house_owned,0,2.7,2.3,1,0,0,6.7,7.7,0,aggression,1.0,1
ADP000098,1.5,large,29.9,mixed,owner_surrender,47,0,minor,0,4.1,8.7,5.9,7.6,0.2,1,1,0,0,house_owned,1,5.1,6.6,2,0,1,9.5,1.0,0,kept,,0
ADP000099,2.3,large,28.3,working,owner_surrender,3,0,none,1,2.9,4.1,1.2,7.2,4.1,1,0,0,0,house_owned,1,2.6,5.1,1,0,1,6.6,2.1,0,kept,,0
ADP000100,10.7,medium,22.5,hound,owner_surrender,33,0,none,1,3.9,6.8,0.6,5.6,3.5,0,1,0,1,house_rented,1,7.7,1.9,2,0,0,8.1,3.7,0,kept,,0
ADP000101,0.5,large,34.0,mixed,stray,52,0,chronic,1,5.4,6.6,5.7,7.1,6.0,1,0,1,1,house_owned,1,9.5,4.6,1,0,1,6.1,2.5,0,kept,,0
ADP000102,0.8,xlarge,47.6,toy,stray,46,1,none,0,0.0,4.1,3.2,4.8,5.8,1,0,0,1,house_rented,1,9.1,6.4,3,0,1,4.2,1.6,0,kept,,0
ADP000103,10.6,xlarge,52.8,mixed,owner_surrender,29,0,minor,1,1.3,4.8,7.2,5.6,6.6,0,0,1,1,apartment,0,8.7,6.3,1,0,0,7.3,0.7,1,kept,,0
ADP000104,3.4,large,33.8,mixed,owner_surrender,24,1,none,1,0.7,1.7,3.0,7.2,4.5,1,0,1,1,house_owned,1,4.4,6.4,2,0,1,7.4,0.8,0,kept,,0
ADP000105,1.0,medium,17.7,hound,stray,11,0,chronic,1,8.6,1.1,5.5,3.4,4.7,0,0,0,1,house_owned,1,5.3,0.5,3,1,0,6.7,2.9,0,kept,,0
ADP000106,0.7,large,29.2,toy,stray,11,0,none,1,0.0,5.7,0.0,4.7,6.5,0,1,0,0,apartment,0,5.4,6.9,1,0,1,5.6,2.2,1,kept,,0
ADP000107,1.0,large,23.6,sporting,owner_surrender,3,1,none,1,4.8,3.1,4.3,8.0,3.7,0,1,0,1,apartment,0,1.9,7.8,4,0,0,6.0,0.2,1,conflict_with_resident_pets,1.3,1
ADP000108,6.3,medium,19.3,hound,stray,17,0,minor,1,1.7,4.5,3.1,7.2,8.3,0,1,0,1,house_owned,1,6.1,2.0,3,0,1,7.6,5.2,0,kept,,0
ADP000109,3.9,small,6.6,working,owner_surrender,45,0,none,0,3.4,0.0,0.0,5.0,8.5,0,0,0,0,house_owned,1,2.9,1.2,2,0,0,3.1,3.8,0,kept,,0
ADP000110,5.6,small,7.5,herding,stray,10,0,minor,1,3.7,5.6,7.3,6.1,5.7,0,1,0,0,house_owned,1,9.9,4.6,1,0,0,6.3,1.5,0,kept,,0
ADP000111,3.6,large,29.8,mixed,owner_surrender,48,0,none,1,1.0,3.7,0.6,4.9,3.5,0,0,0,0,house_owned,1,3.4,5.7,1,0,1,5.2,0.8,0,kept,,0
ADP000112,2.0,small,5.3,working,owner_surrender,45,0,none,1,0.0,6.7,0.7,4.0,6.6,1,0,0,1,apartment,0,3.6,4.1,1,0,0,9.1,0.1,0,aggression,34.2,1
ADP000113,2.3,small,5.9,herding,owner_surrender,25,0,minor,1,3.4,5.2,3.4,9.3,6.0,0,0,0,1,apartment,0,8.2,9.0,1,0,0,7.5,0.3,0,kept,,0
ADP000114,3.2,large,32.8,mixed,owner_surrender,6,0,none,1,4.0,5.0,6.4,9.1,4.8,1,1,1,0,apartment,0,4.4,6.7,2,0,1,5.2,2.4,1,kept,,0
ADP000115,2.0,medium,18.2,hound,stray,21,0,none,1,0.0,1.6,4.3,4.1,4.2,1,0,0,0,house_owned,1,5.9,6.6,1,0,0,7.0,2.5,0,kept,,0
ADP000116,3.2,medium,18.1,sporting,stray,52,0,none,1,0.9,6.1,3.9,3.8,3.8,1,1,0,0,house_owned,1,7.1,7.9,2,0,0,6.3,4.1,0,separation_anxiety_destruction,1.0,1
ADP000117,1.7,medium,17.0,terrier,owner_surrender,41,0,none,1,0.0,5.4,0.0,7.3,3.9,0,0,0,0,house_rented,1,5.9,6.0,2,0,0,8.1,1.3,0,kept,,0
ADP000118,1.8,large,26.8,working,transfer,34,0,chronic,1,0.8,1.5,4.9,8.8,7.5,0,0,1,0,house_owned,1,6.8,3.0,2,0,1,4.4,5.8,0,kept,,0
ADP000119,1.4,small,7.8,sporting,owner_surrender,79,0,none,1,2.3,4.4,2.7,5.5,1.7,0,1,0,1,house_owned,1,4.7,7.9,1,1,0,8.3,2.4,0,kept,,0
ADP000120,4.3,small,11.9,herding,stray,52,0,none,1,0.5,5.0,6.2,7.0,5.8,1,0,0,1,house_owned,1,7.0,4.2,2,0,1,6.5,2.8,0,kept,,0
ADP000121,0.6,medium,19.2,hound,stray,57,0,minor,1,3.1,6.0,6.3,4.1,8.5,0,0,1,1,apartment,0,0.0,3.6,1,0,1,6.3,0.5,0,kept,,0
ADP000122,7.8,medium,17.0,herding,stray,11,0,none,1,2.7,3.7,1.4,7.4,2.8,1,0,0,0,house_owned,1,2.6,5.1,1,0,0,8.2,2.3,0,kept,,0
ADP000123,3.8,medium,20.0,herding,stray,21,1,none,1,0.7,3.2,5.6,4.0,8.2,1,0,1,1,apartment,0,7.9,5.3,2,0,0,9.5,1.3,0,kept,,0
ADP000124,3.2,medium,18.2,mixed,stray,31,0,minor,1,2.7,5.3,3.1,7.7,3.7,0,1,1,1,house_rented,1,2.4,3.5,1,0,0,4.4,4.2,0,separation_anxiety_destruction,1.4,1
ADP000125,3.4,xlarge,48.9,mixed,stray,30,0,none,1,1.0,3.5,4.1,7.5,2.8,0,0,0,1,house_owned,1,4.6,4.6,2,0,1,6.5,2.9,0,kept,,0
ADP000126,6.7,medium,14.3,herding,stray,21,1,none,1,3.0,3.2,3.6,4.4,5.3,1,1,0,0,house_rented,0,8.3,4.2,2,0,1,4.7,0.2,0,kept,,0
ADP000127,6.7,small,5.9,mixed,stray,18,0,minor,1,1.8,3.7,3.4,3.7,3.9,0,0,1,0,house_owned,0,3.0,8.0,3,0,1,5.5,4.3,0,aggression,2.9,1
ADP000128,1.0,medium,22.9,mixed,stray,27,0,none,1,1.2,0.6,4.4,2.7,0.0,1,0,0,0,apartment,0,4.4,6.5,2,0,0,5.6,3.8,0,kept,,0
ADP000129,8.9,large,29.6,mixed,transfer,19,0,none,0,1.2,2.9,4.4,8.4,7.6,1,1,1,0,apartment,0,5.1,4.6,1,0,1,4.9,3.8,1,kept,,0
ADP000130,1.9,medium,17.3,working,stray,41,0,chronic,1,5.0,6.3,3.7,9.0,2.9,0,0,1,1,house_owned,1,7.7,8.3,1,0,1,6.0,0.7,0,kept,,0
ADP000131,1.4,small,6.4,mixed,owner_surrender,49,0,none,1,3.2,1.4,4.0,1.8,8.8,0,1,0,1,house_owned,1,5.2,5.6,2,1,0,7.5,3.8,0,kept,,0
ADP000132,2.0,xlarge,49.4,working,stray,68,0,none,1,5.0,2.9,5.4,7.1,5.2,1,0,0,1,apartment,0,8.4,4.2,1,1,0,4.5,2.9,1,kept,,0
ADP000133,4.7,medium,21.6,herding,owner_surrender,57,0,minor,1,1.3,3.4,2.3,5.0,6.6,0,0,0,1,apartment,0,3.4,1.6,1,0,0,8.9,3.4,0,kept,,0
ADP000134,4.7,large,29.3,mixed,stray,33,0,none,1,2.1,3.7,4.5,4.8,7.4,1,0,0,1,house_owned,1,4.9,6.3,2,1,0,5.0,1.5,0,kept,,0
ADP000135,3.6,medium,16.9,mixed,stray,61,0,none,1,2.6,6.1,2.2,5.8,1.8,0,1,1,0,house_rented,1,7.3,7.6,2,0,0,6.5,1.8,0,kept,,0
ADP000136,3.3,medium,19.9,toy,stray,6,0,none,1,2.4,2.8,4.1,6.5,6.2,0,1,0,1,house_owned,0,2.9,7.4,2,0,1,9.0,0.9,0,kept,,0
