,age_years,size,weight_kg,breed_group,intake_type,days_in_shelter,previously_returned,medical_needs,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,home_type,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch
12793,1.9,medium,25.2,toy,owner_surrender,114,0,none,1,6.1,4.5,3.9,7.0,5.9,0,1,0,0,apartment,0,2.5,4.0,1,0,1,8.4,3.0,0
24025,6.2,xlarge,50.1,hound,born_in_care,38,0,minor,1,3.9,2.2,4.7,5.9,6.1,0,0,0,0,house_rented,1,2.9,4.7,1,0,1,6.0,1.2,0
8119,0.3,small,7.2,mixed,transfer,53,0,none,1,3.7,2.8,0.0,3.1,9.4,0,0,1,0,apartment,0,8.2,6.8,3,0,1,5.0,3.7,0
14318,3.3,medium,22.1,mixed,stray,28,0,minor,1,3.6,1.9,4.3,5.0,2.1,1,0,1,0,house_owned,1,10.7,8.8,1,0,1,8.1,3.8,0
10729,1.3,small,6.7,terrier,stray,48,1,chronic,1,5.5,1.4,0.0,6.4,6.7,0,1,1,1,house_owned,1,2.4,6.2,1,0,1,5.8,0.2,0
2123,6.5,medium,20.7,mixed,stray,13,0,chronic,1,1.2,4.5,3.3,7.3,5.5,1,1,1,0,house_owned,1,2.9,4.7,1,0,1,8.4,2.6,0
8366,6.7,small,6.9,terrier,stray,133,0,none,1,1.4,0.3,3.9,8.1,10.0,1,0,0,1,house_owned,1,4.7,6.9,1,1,0,9.8,1.2,0
24415,7.6,small,5.5,sporting,stray,25,0,minor,1,2.8,1.1,5.9,8.3,5.1,0,0,1,0,apartment,0,6.1,4.2,1,0,1,4.3,4.1,0
18280,0.4,xlarge,35.4,mixed,transfer,25,0,minor,1,0.0,3.9,4.5,9.0,2.8,0,1,1,1,house_owned,1,0.0,5.4,1,0,1,5.2,3.6,0
38991,3.4,large,29.0,terrier,owner_surrender,135,0,none,1,3.4,6.8,4.2,5.9,6.8,0,0,0,1,house_rented,1,12.8,5.0,1,0,1,6.4,0.9,0
24586,4.8,medium,14.8,toy,owner_surrender,98,0,none,1,2.1,5.4,4.8,7.0,7.2,1,1,0,1,apartment,0,8.0,6.3,1,1,0,4.2,0.7,0
28023,0.8,medium,15.9,mixed,owner_surrender,21,0,none,1,0.7,3.4,2.0,4.9,5.3,1,0,0,0,apartment,0,5.1,7.0,1,0,0,8.1,2.1,0
22476,2.9,medium,13.8,hound,owner_surrender,11,1,minor,1,0.4,1.8,2.8,2.7,0.8,0,0,1,1,house_rented,1,1.8,2.8,1,1,0,7.0,0.1,0
18632,1.4,small,6.5,sporting,transfer,16,0,minor,1,0.8,4.9,3.6,3.5,4.7,1,1,1,0,house_rented,1,8.8,4.8,1,0,0,6.6,1.3,0
3785,4.1,large,30.3,toy,transfer,63,0,minor,1,1.0,4.4,7.2,8.2,6.2,0,1,0,0,house_owned,1,8.0,3.0,4,0,0,3.8,5.2,0
4608,3.3,medium,12.1,sporting,stray,23,0,minor,1,0.8,4.6,0.0,3.7,4.8,0,0,0,0,house_owned,1,1.0,7.1,1,0,0,8.6,3.4,0
15601,10.4,medium,17.9,toy,stray,34,0,none,1,5.0,3.4,4.6,3.7,8.0,1,0,1,0,house_owned,0,9.7,6.5,2,0,0,5.0,2.8,0
8562,2.7,xlarge,40.6,mixed,owner_surrender,113,0,none,1,0.9,5.1,6.1,9.0,6.8,0,0,0,0,house_owned,1,5.4,6.2,2,0,1,3.0,2.8,0
3345,8.1,small,8.2,mixed,stray,32,0,none,0,0.0,4.4,4.5,6.6,5.3,1,1,0,1,apartment,0,5.1,6.3,2,0,0,6.2,0.3,0
8437,5.2,large,34.4,mixed,stray,43,0,none,1,3.6,6.4,3.2,6.3,3.6,0,1,1,1,house_rented,1,4.8,10.0,2,1,0,8.3,3.7,0
17804,6.3,small,5.8,mixed,owner_surrender,51,0,none,1,1.4,3.4,1.3,4.2,4.2,1,1,0,0,house_rented,1,11.2,5.9,2,0,0,6.7,1.7,0
6295,6.4,small,12.1,mixed,stray,33,1,none,1,4.3,7.5,4.7,4.6,3.4,0,0,0,1,house_rented,1,9.6,10.0,2,0,1,6.5,5.4,0
16833,6.1,small,10.3,hound,stray,35,0,minor,1,2.3,7.4,1.3,3.9,4.7,0,0,1,0,house_owned,1,6.0,6.3,1,0,1,8.4,2.4,0
24084,8.6,medium,16.6,mixed,stray,13,0,none,1,5.4,4.9,6.6,3.3,4.4,0,0,0,1,apartment,0,4.3,3.0,2,0,1,6.3,0.3,0
33194,2.3,large,27.7,terrier,transfer,9,0,minor,1,0.0,2.8,3.8,7.0,7.1,0,1,1,0,apartment,1,4.5,4.2,1,0,0,8.0,2.8,1
37407,1.3,large,35.7,working,owner_surrender,33,0,minor,1,0.6,2.5,4.8,8.2,0.0,0,1,0,0,house_owned,0,10.1,5.4,1,0,0,7.8,2.8,0
25093,1.9,small,4.9,mixed,stray,26,0,none,1,1.2,5.7,4.9,4.3,3.9,0,0,0,1,house_owned,1,6.7,6.6,2,1,0,7.6,2.3,0
24807,3.0,xlarge,50.0,sporting,owner_surrender,3,0,none,1,4.4,3.8,3.6,9.1,6.6,0,0,1,0,apartment,0,0.0,3.5,2,0,1,6.6,5.6,1
1236,2.7,xlarge,39.5,sporting,stray,9,0,none,1,4.7,2.7,5.1,5.2,5.4,0,0,1,1,house_rented,1,10.7,4.7,1,1,1,5.3,0.5,0
31786,9.6,large,20.0,toy,owner_surrender,60,0,none,1,4.3,6.0,3.7,5.9,7.3,1,1,0,1,apartment,0,6.3,1.8,3,0,0,8.0,4.1,1
32416,5.0,large,27.4,toy,stray,19,0,none,0,2.3,9.3,7.4,4.1,0.7,1,0,0,1,house_owned,1,7.7,5.1,2,1,0,5.0,1.0,0
2549,10.2,small,7.4,working,stray,4,0,chronic,1,0.8,2.2,0.0,3.5,2.7,1,0,0,0,house_rented,1,7.9,3.7,1,0,0,8.4,0.2,0
3456,4.8,large,36.3,mixed,owner_surrender,45,0,minor,1,0.0,1.9,5.6,5.0,8.2,0,0,0,1,house_owned,1,5.5,4.1,1,0,0,6.2,0.9,0
17317,2.7,small,7.2,working,owner_surrender,21,1,none,1,1.3,5.1,6.6,7.4,6.1,1,0,0,0,house_owned,1,5.4,7.1,1,0,0,7.7,0.3,0
15649,3.1,large,24.4,working,transfer,35,0,none,1,0.0,0.0,1.9,6.5,6.8,1,0,0,0,house_owned,1,1.0,8.7,1,0,0,3.8,2.2,0
19893,2.3,medium,19.5,working,stray,24,0,none,1,1.9,8.4,0.5,6.8,8.0,1,0,0,1,house_owned,1,5.7,7.4,1,1,0,5.1,0.6,0
31636,0.5,medium,20.7,mixed,owner_surrender,7,0,minor,1,0.8,1.4,0.0,5.7,4.3,0,1,0,0,house_owned,0,7.2,6.6,1,0,0,7.3,0.9,0
10551,4.5,large,23.5,mixed,stray,22,0,none,1,3.2,2.8,3.3,6.6,1.2,0,0,1,1,apartment,0,4.4,2.9,1,0,0,8.7,3.7,1
40575,2.2,xlarge,57.6,mixed,owner_surrender,19,0,none,1,6.1,1.8,0.2,6.0,2.7,0,0,1,0,house_rented,1,13.6,3.0,3,0,0,3.4,3.0,0
16051,7.3,small,4.7,terrier,born_in_care,44,0,none,1,0.0,0.0,4.2,4.3,2.2,1,1,0,1,house_owned,1,8.3,4.5,1,0,0,6.2,0.2,0
41361,0.7,large,27.5,sporting,owner_surrender,27,0,none,1,0.7,5.8,4.5,4.2,2.4,1,1,1,0,house_owned,0,8.7,4.1,1,0,1,7.3,0.1,0
28644,7.4,medium,16.1,mixed,owner_surrender,15,0,minor,1,0.0,5.9,2.8,5.5,5.7,1,1,0,0,apartment,0,6.0,3.5,3,0,0,6.9,2.0,0
12736,10.4,xlarge,42.3,sporting,stray,18,0,none,1,2.6,4.8,4.9,4.8,6.3,1,0,0,1,apartment,0,9.4,9.2,3,0,0,6.1,4.4,1
38594,2.6,large,19.3,mixed,stray,2,0,none,1,3.5,4.6,0.0,6.2,4.8,0,1,0,0,house_rented,0,5.2,10.0,1,0,0,6.6,3.8,0
12864,4.9,medium,16.2,mixed,owner_surrender,55,0,none,1,5.3,0.8,3.4,7.1,7.9,0,0,1,1,house_owned,1,4.4,9.2,1,1,1,5.9,2.1,0
16881,1.5,small,6.7,terrier,stray,34,1,none,1,1.7,4.0,6.3,9.5,3.3,1,0,0,0,house_owned,1,5.1,7.1,4,0,0,5.5,2.4,0
41082,2.8,small,6.7,mixed,owner_surrender,18,1,minor,1,1.8,3.2,3.6,5.8,1.2,1,0,1,0,house_owned,1,7.1,9.9,1,0,0,10.0,4.1,0
23330,6.8,large,27.2,herding,stray,12,0,none,1,3.1,4.1,2.9,9.4,6.1,0,0,0,0,apartment,0,3.6,4.6,3,0,0,5.6,4.8,1
5041,2.9,small,9.1,hound,owner_surrender,44,0,none,1,3.4,2.6,4.1,6.4,6.5,0,1,0,0,apartment,0,6.2,4.2,1,0,0,6.9,2.2,0
4406,3.3,small,2.3,sporting,owner_surrender,39,0,minor,1,4.4,0.8,4.7,5.1,6.4,1,0,0,1,house_rented,1,8.8,1.5,2,1,0,6.1,3.6,0
41335,4.1,medium,14.5,mixed,stray,27,0,minor,1,3.5,7.3,4.5,8.6,3.8,0,0,0,0,house_owned,1,5.0,2.9,2,0,0,8.5,5.7,0
1756,5.6,medium,19.6,hound,transfer,95,0,none,1,2.4,1.6,7.6,6.1,6.9,0,1,0,0,house_owned,1,8.4,0.7,2,0,0,6.6,5.4,0
38812,1.9,xlarge,46.0,sporting,stray,37,0,minor,1,4.7,5.6,5.7,2.2,4.6,1,1,0,0,apartment,1,11.5,6.6,1,0,0,6.6,4.4,1
35537,1.4,medium,19.0,toy,stray,7,0,none,1,5.5,5.8,0.0,5.6,4.5,1,0,1,1,house_rented,1,4.6,6.2,2,0,0,5.7,0.6,0
8323,2.3,medium,18.2,hound,owner_surrender,68,0,minor,1,0.3,6.3,6.4,10.0,5.4,0,0,0,0,house_rented,1,7.4,0.6,1,0,1,6.2,9.4,0
40132,1.9,small,3.4,hound,owner_surrender,5,0,none,1,0.0,8.1,2.8,6.6,5.2,1,1,0,0,apartment,0,7.8,7.8,1,0,1,6.4,1.2,0
23407,5.2,small,6.0,sporting,stray,58,0,none,1,3.0,1.8,2.4,8.1,4.4,0,0,0,1,house_owned,1,7.3,5.9,1,0,0,8.9,2.2,0
6685,1.8,large,28.4,toy,owner_surrender,9,0,none,1,1.7,6.2,3.6,2.6,3.6,0,1,0,0,apartment,0,5.7,9.6,1,0,0,7.7,7.0,1
28450,3.0,small,7.7,terrier,stray,6,0,none,0,0.9,8.5,3.1,4.0,4.0,0,0,0,1,house_rented,1,1.4,6.9,1,1,0,8.2,2.9,0
22450,15.2,small,8.7,mixed,stray,9,0,none,1,2.4,5.1,5.3,3.4,0.4,0,0,0,1,apartment,0,7.5,6.0,2,0,0,5.7,2.6,0
36309,8.4,large,29.3,toy,transfer,12,1,minor,1,3.0,7.5,1.9,5.6,5.6,0,0,0,0,apartment,0,5.5,2.0,2,0,0,3.4,3.6,1
22754,5.9,large,28.1,terrier,owner_surrender,6,0,minor,1,2.9,5.2,3.1,4.5,3.7,0,1,0,0,house_owned,1,5.5,4.6,1,0,0,7.1,0.1,0
31585,1.9,small,4.6,working,stray,33,0,none,1,0.0,0.0,4.5,7.3,4.5,1,1,1,0,apartment,0,3.4,6.1,1,0,0,9.9,1.2,0
37551,1.9,large,28.9,toy,stray,6,0,minor,0,1.6,5.6,0.6,9.0,4.9,0,1,0,1,house_rented,1,0.0,6.4,1,1,1,10.0,2.6,0
35940,1.6,medium,22.4,working,owner_surrender,28,0,none,1,1.3,0.8,1.9,10.0,6.4,1,0,0,0,house_owned,1,5.7,2.0,2,0,0,5.4,8.0,0
19049,6.0,large,28.6,toy,born_in_care,12,0,minor,1,4.6,6.4,1.4,10.0,1.7,1,0,0,0,house_owned,1,12.4,6.6,1,0,1,6.8,3.4,0
9763,1.8,medium,13.6,mixed,owner_surrender,5,0,none,1,4.7,5.6,9.7,8.4,0.0,0,0,1,1,house_rented,0,7.8,5.5,2,0,1,6.1,2.9,0
2584,3.9,medium,16.7,mixed,stray,25,0,none,1,1.7,6.0,2.6,9.1,0.3,0,1,0,0,house_rented,1,8.8,6.1,2,0,1,8.3,3.0,0
9442,6.4,medium,12.3,sporting,stray,18,0,minor,1,2.2,3.1,3.1,3.1,7.0,1,0,0,1,house_rented,0,6.6,3.5,1,1,0,6.6,0.4,0
13189,3.6,large,29.3,herding,stray,9,0,minor,0,6.8,6.3,6.1,1.7,5.7,0,0,1,0,house_owned,0,6.3,3.2,1,0,0,6.7,1.5,0
37303,0.5,large,15.1,herding,born_in_care,27,0,none,1,1.6,2.7,2.6,7.0,2.6,1,1,0,1,house_owned,1,8.4,8.2,1,1,1,7.9,1.2,0
31241,4.0,small,6.8,working,transfer,2,0,none,1,0.6,3.2,2.0,9.6,1.5,0,0,0,1,house_owned,0,8.8,5.6,1,1,0,8.4,4.0,0
24783,6.2,large,41.3,mixed,owner_surrender,22,0,none,1,3.6,5.0,3.7,7.9,0.0,0,0,0,1,house_rented,1,4.8,6.2,2,0,1,3.9,1.7,0
8161,1.1,medium,12.3,toy,stray,24,0,none,1,6.1,7.4,1.7,5.5,0.9,0,0,0,0,apartment,0,5.8,7.9,3,0,0,4.2,2.4,0
28699,1.1,medium,21.4,herding,born_in_care,3,0,none,1,0.0,1.5,3.8,2.6,2.2,1,0,0,0,house_owned,1,0.8,7.9,2,0,1,8.4,5.3,0
9873,1.0,medium,17.0,terrier,owner_surrender,32,0,none,1,0.3,4.2,4.2,5.3,7.2,0,0,1,1,apartment,0,3.5,4.4,2,1,1,8.6,0.9,0
32722,2.9,small,10.7,mixed,stray,41,0,none,1,3.8,2.6,4.4,5.4,5.3,0,1,0,0,house_owned,0,6.3,7.2,3,0,0,5.4,1.8,0
27192,4.7,small,10.8,mixed,stray,33,1,none,1,3.0,4.2,0.4,9.3,4.0,0,0,1,0,apartment,0,6.8,4.1,1,0,1,7.8,5.2,0
41434,2.0,small,6.5,working,stray,9,0,none,0,1.1,1.5,3.8,7.4,2.6,0,1,0,0,house_owned,0,0.5,4.9,3,0,1,7.2,2.5,0
10965,3.0,large,33.5,toy,stray,14,0,none,1,2.7,2.4,2.0,7.6,3.9,0,1,0,1,apartment,0,6.2,3.5,3,1,0,8.6,4.1,1
799,1.8,medium,18.5,working,transfer,92,0,minor,1,2.6,0.0,3.0,8.5,5.5,1,0,0,0,house_rented,1,5.6,9.8,1,0,1,4.4,1.3,0
8551,6.8,large,36.9,mixed,owner_surrender,19,1,none,1,2.0,2.8,3.4,4.5,2.9,0,1,1,0,house_rented,1,7.3,5.8,1,0,1,9.1,1.3,0
26442,0.8,small,8.8,mixed,stray,12,0,none,1,3.8,6.5,5.0,1.4,0.9,0,0,1,0,house_owned,1,1.0,4.8,1,0,1,8.3,3.4,0
5460,11.1,medium,18.9,mixed,stray,63,0,none,1,5.5,7.8,3.6,7.7,6.0,1,0,0,1,apartment,0,8.6,8.9,2,0,1,7.0,1.2,0
9618,6.2,large,31.4,toy,owner_surrender,53,0,none,1,1.5,2.1,7.3,2.5,6.0,0,0,0,0,house_owned,1,9.1,7.1,1,0,0,5.7,4.6,0
7712,0.6,medium,21.8,toy,owner_surrender,13,0,minor,1,3.6,6.9,4.3,9.8,2.9,0,1,0,0,house_owned,1,2.4,7.1,3,0,1,7.3,2.7,0
16879,0.9,small,6.4,herding,transfer,8,0,none,1,2.1,4.9,4.0,10.0,7.7,1,0,0,1,house_rented,1,5.0,4.7,1,0,0,2.6,5.3,0
12217,2.2,medium,15.7,terrier,stray,13,1,none,1,0.7,2.2,5.0,7.1,3.5,0,0,0,0,house_owned,1,10.7,3.9,1,0,0,8.3,3.2,0
40860,0.7,large,25.4,herding,owner_surrender,48,0,none,1,2.6,1.3,3.9,6.7,2.3,0,0,0,1,house_rented,1,2.7,4.2,1,1,1,2.7,2.5,0
35142,5.6,medium,20.8,mixed,owner_surrender,46,0,none,1,2.7,1.6,2.8,5.0,7.4,1,1,1,0,apartment,0,3.3,4.3,1,0,1,6.7,0.7,0
12683,3.1,small,4.4,terrier,transfer,7,0,none,1,0.0,7.1,4.2,7.1,7.2,0,0,0,1,house_owned,0,9.3,5.1,1,1,0,2.9,2.0,0
27782,3.2,small,6.6,hound,owner_surrender,120,0,minor,1,1.2,6.6,5.5,9.3,5.6,0,0,0,0,house_owned,1,3.8,4.8,1,0,0,6.1,4.5,0
1463,8.3,medium,21.1,sporting,transfer,23,0,none,1,3.2,5.8,0.8,5.1,2.7,0,0,0,0,house_owned,1,6.2,9.3,1,0,0,10.0,4.2,0
14365,2.9,large,33.4,hound,owner_surrender,13,0,none,1,0.0,3.0,5.1,4.9,4.8,0,1,1,0,house_owned,1,0.9,6.5,3,0,0,4.5,1.6,0
4561,3.1,medium,20.6,working,stray,9,0,none,1,0.7,2.4,3.7,7.8,2.6,0,1,0,0,apartment,0,4.4,3.0,3,0,0,2.7,4.8,0
16610,1.1,large,32.0,sporting,born_in_care,31,0,none,1,5.4,2.5,1.0,8.0,4.5,1,0,1,0,house_owned,1,6.3,4.3,1,0,0,7.2,3.7,0
31256,2.9,large,28.3,mixed,owner_surrender,33,0,minor,1,3.9,6.8,0.0,6.5,4.5,0,0,0,0,house_owned,1,9.1,10.0,1,0,1,7.3,3.5,0
29145,2.7,medium,18.3,working,stray,12,0,none,1,4.7,4.0,0.6,7.1,3.1,1,0,0,0,house_rented,0,5.9,5.0,2,0,0,6.4,2.1,0
5032,2.1,large,34.8,mixed,owner_surrender,65,0,minor,1,3.7,4.7,7.4,5.4,2.5,0,0,1,1,house_owned,1,8.0,5.9,1,0,0,5.4,0.5,0
18076,2.0,medium,15.3,herding,transfer,11,1,minor,1,6.3,4.9,5.9,7.3,0.0,0,1,0,0,house_rented,1,4.5,7.1,2,0,0,6.9,0.2,0
34789,1.0,small,5.5,mixed,born_in_care,9,0,minor,1,4.5,2.4,5.4,6.4,4.6,1,1,0,0,house_owned,1,7.7,5.6,3,0,0,9.8,0.8,0
26436,1.6,medium,17.8,toy,transfer,8,0,none,1,3.7,7.0,2.7,5.8,0.0,0,0,0,1,house_owned,0,4.0,4.5,1,0,1,6.6,1.3,0
35078,4.9,medium,26.1,mixed,stray,17,0,none,1,2.3,4.4,1.8,5.1,4.5,1,0,0,1,house_owned,1,4.0,7.8,1,0,1,7.4,2.7,0
22050,6.7,medium,16.2,toy,owner_surrender,22,0,none,1,0.1,6.8,8.0,2.5,5.3,0,1,0,0,house_owned,1,14.0,4.8,2,0,0,8.2,2.3,0
1310,1.7,large,35.7,mixed,stray,23,1,minor,1,0.0,2.8,1.6,8.6,6.1,0,0,0,1,house_owned,1,13.1,10.0,1,0,0,3.6,1.4,0
25667,8.0,medium,17.2,mixed,born_in_care,49,1,none,1,1.4,3.3,4.9,6.9,6.6,1,0,0,0,apartment,0,6.1,2.9,1,0,1,5.5,4.0,0
17817,4.0,small,5.5,mixed,owner_surrender,23,0,none,1,0.0,1.5,6.9,6.1,4.9,1,0,0,1,apartment,0,1.5,7.6,1,0,0,6.1,1.5,0
5039,2.5,medium,15.7,mixed,transfer,12,0,minor,1,0.4,3.8,7.1,4.3,2.3,0,1,0,1,house_rented,0,14.0,5.2,1,1,1,5.2,0.9,0
1233,4.2,large,19.4,mixed,transfer,27,0,none,1,2.9,2.8,5.5,10.0,6.1,0,0,0,1,apartment,0,4.1,2.0,2,0,1,4.8,8.0,1
28248,4.9,medium,14.9,toy,stray,4,0,none,1,3.8,2.7,4.0,4.4,5.1,0,0,1,1,apartment,0,3.0,4.4,2,0,0,10.0,0.0,0
11627,7.5,small,5.6,mixed,owner_surrender,44,0,none,1,4.2,9.0,5.7,7.5,2.3,0,1,0,0,apartment,0,0.0,4.6,1,0,0,9.6,2.9,0
16695,6.7,large,30.5,mixed,owner_surrender,77,0,none,1,0.0,4.1,1.0,5.9,6.2,1,0,1,0,house_rented,1,0.2,7.5,1,0,1,7.8,1.6,0
17106,1.3,medium,14.7,herding,stray,21,0,none,1,0.0,1.9,1.6,6.1,9.5,1,0,0,1,apartment,0,7.5,10.0,1,0,1,8.4,3.9,0
29895,3.6,small,6.8,mixed,owner_surrender,22,0,minor,1,0.0,0.0,3.4,6.4,6.5,0,1,0,0,house_owned,1,4.9,5.8,3,0,1,7.6,0.6,0
24509,9.1,xlarge,40.0,sporting,owner_surrender,93,0,none,1,1.4,2.8,4.4,6.7,3.5,1,0,0,1,house_rented,1,1.9,3.8,2,1,1,4.9,2.9,0
22105,1.9,large,26.8,working,transfer,13,0,none,1,2.4,3.8,0.6,2.8,0.3,0,1,0,1,house_rented,1,4.7,1.7,1,1,0,6.7,1.1,0
828,1.0,small,10.1,herding,born_in_care,33,0,chronic,1,4.9,2.6,1.3,5.4,9.1,1,0,1,0,apartment,0,5.0,5.6,1,0,0,6.0,0.2,0
14518,1.4,medium,18.5,mixed,transfer,37,0,none,1,1.0,1.7,3.4,7.5,4.5,1,0,0,1,house_owned,1,6.9,5.6,1,0,1,5.2,1.9,0
37036,0.9,medium,26.2,herding,owner_surrender,23,0,none,1,4.6,3.9,0.1,10.0,5.8,0,1,0,0,apartment,0,7.0,3.1,2,0,0,9.2,6.9,0
35222,12.3,medium,16.1,toy,owner_surrender,23,0,minor,1,0.0,0.9,2.9,7.0,6.8,1,0,1,1,house_owned,1,4.6,7.0,2,1,1,8.7,0.0,0
37004,2.6,large,29.7,mixed,owner_surrender,27,0,none,1,2.8,3.5,2.0,4.2,4.9,0,1,1,0,house_owned,0,4.5,6.8,1,0,0,4.3,2.6,0
19346,5.3,medium,21.2,hound,transfer,85,0,none,1,1.3,5.2,4.3,4.1,6.9,1,0,0,0,house_owned,1,4.0,7.6,3,0,0,5.4,3.5,0
33565,5.8,medium,16.4,mixed,stray,46,1,none,1,1.4,5.8,1.7,6.9,8.4,0,0,0,0,apartment,0,7.3,5.5,2,0,0,10.0,1.4,0
39111,4.4,medium,19.7,working,owner_surrender,17,0,none,1,1.8,6.1,4.5,6.6,6.1,0,0,1,1,house_owned,0,10.0,4.0,1,0,0,8.4,2.6,0
19147,2.0,medium,17.5,mixed,stray,19,0,none,1,4.0,5.5,3.0,5.9,3.5,0,0,1,1,house_rented,1,0.0,4.2,2,1,0,7.1,1.7,0
10275,0.9,medium,15.7,herding,owner_surrender,55,0,none,1,2.9,6.0,2.0,7.3,1.5,0,0,1,1,apartment,0,5.4,3.1,1,0,1,2.3,4.2,0
6477,2.7,small,11.4,mixed,stray,54,0,chronic,1,1.3,9.4,0.4,5.6,5.1,0,1,0,0,house_rented,1,8.4,7.9,1,0,1,6.1,2.3,0
27171,9.8,large,26.8,herding,owner_surrender,32,0,none,1,0.5,0.7,0.0,5.7,4.7,0,1,0,1,house_rented,1,8.7,8.0,1,0,0,9.3,2.3,0
31677,1.9,large,17.5,working,born_in_care,30,1,minor,1,3.1,6.8,3.7,7.7,3.9,0,1,1,1,apartment,0,7.3,5.9,1,0,0,5.7,1.8,1
1844,2.1,xlarge,46.5,terrier,stray,70,0,none,1,7.8,7.0,4.1,5.6,2.0,0,0,0,0,house_owned,1,2.6,2.5,4,0,1,8.3,3.1,0
3408,3.4,medium,22.5,sporting,stray,8,0,none,1,2.8,6.7,1.8,3.2,4.6,1,1,0,0,house_rented,1,4.8,8.7,2,0,0,7.5,5.5,0
17340,7.9,small,9.9,mixed,transfer,8,0,chronic,0,1.3,5.7,2.5,7.1,6.2,1,0,1,0,house_rented,1,7.5,4.3,2,0,0,7.5,2.8,0
