,age_years,weight_kg,days_in_shelter,previously_returned,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch,size_large,size_medium,size_small,size_xlarge,breed_group_herding,breed_group_hound,breed_group_mixed,breed_group_sporting,breed_group_terrier,breed_group_toy,breed_group_working,intake_type_born_in_care,intake_type_owner_surrender,intake_type_stray,intake_type_transfer,medical_needs_chronic,medical_needs_minor,medical_needs_none,home_type_apartment,home_type_house_owned,home_type_house_rented
10569,9.6,7.2,6,1,1,0.0,7.6,5.2,0.5,2.4,0,1,0,0,1,7.2,8.3,2,0,0,7.8,7.8,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
27321,6.0,32.6,16,0,1,4.1,4.2,6.8,6.4,3.4,0,1,1,0,0,8.2,7.3,1,0,1,3.7,0.9,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
34719,1.9,35.7,32,0,1,2.5,2.4,0.0,3.1,3.3,1,0,0,1,0,7.0,5.6,1,0,1,4.3,2.5,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
19758,1.5,19.3,35,0,1,3.3,6.6,3.5,3.0,6.1,1,1,0,0,1,1.5,6.4,1,0,0,6.9,3.4,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
14642,7.0,13.4,13,0,1,2.2,4.6,3.4,6.2,6.1,1,0,0,1,1,6.2,0.8,1,1,1,7.9,5.4,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
41699,1.7,18.3,27,0,1,4.5,2.8,1.4,6.8,5.5,1,0,0,0,0,10.9,6.2,1,0,1,7.2,0.6,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
40729,3.2,5.8,65,0,1,0.0,5.2,3.9,1.4,6.7,1,1,0,0,1,1.3,4.8,1,0,0,6.5,3.4,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
33190,4.9,6.7,4,0,1,1.8,2.3,2.9,7.6,7.1,1,1,0,1,1,8.6,1.7,4,0,0,6.2,5.9,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
3309,0.9,16.0,41,0,1,5.1,4.4,1.3,5.0,6.2,1,1,0,1,1,8.5,0.8,1,0,0,5.3,4.2,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
8779,8.4,22.5,8,0,1,0.0,2.8,0.0,5.0,3.8,1,1,1,1,1,7.7,8.9,1,0,0,4.4,3.9,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
18734,9.1,8.4,8,0,1,1.6,6.8,5.9,5.0,5.7,1,1,0,0,1,5.6,2.3,2,0,0,8.0,2.7,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
39805,1.4,47.3,86,0,1,1.6,4.0,1.5,3.6,8.4,1,1,1,1,0,8.5,5.1,1,0,0,7.0,1.5,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
35733,2.6,16.6,16,0,1,1.2,5.3,2.4,4.7,3.4,0,0,0,0,1,6.6,7.3,1,0,0,8.9,2.6,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
14644,3.1,17.7,7,1,1,1.9,4.9,2.8,6.4,7.1,1,1,0,1,1,7.6,4.5,1,1,0,9.1,1.9,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
19855,9.2,40.1,35,0,1,0.6,0.8,1.5,3.2,8.9,1,1,1,0,1,8.7,5.9,1,0,0,8.7,2.7,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2157,7.2,10.1,16,0,1,2.3,1.4,3.6,10.0,5.3,1,1,0,1,0,3.0,3.5,2,0,0,7.7,6.5,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
18252,4.7,7.7,78,0,1,3.1,4.8,6.6,4.3,10.0,0,0,1,0,0,8.0,3.7,1,0,1,9.3,0.6,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
22271,3.4,27.9,48,0,1,0.0,4.1,0.0,6.6,8.8,0,1,0,0,1,6.7,6.7,2,0,1,7.3,0.1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
32592,3.0,5.0,44,0,1,0.0,2.9,2.3,7.1,3.9,1,0,1,1,1,4.3,10.0,1,1,1,4.3,2.9,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False
41300,5.9,26.0,2,0,1,0.0,5.2,0.3,6.4,5.2,0,0,0,0,1,6.2,5.4,2,0,0,0.1,1.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
22387,0.4,22.7,17,0,1,0.6,0.3,5.3,6.2,2.6,0,1,0,1,1,5.0,5.5,1,1,1,8.4,0.7,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
16884,6.9,18.2,14,1,1,6.9,5.1,3.2,5.3,5.3,0,0,1,1,1,6.8,7.1,1,0,0,4.4,1.8,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
15504,3.7,36.0,19,0,1,5.1,3.1,3.0,10.0,1.5,1,1,0,0,1,0.9,5.7,1,0,1,6.9,4.3,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
1690,0.4,17.6,36,1,1,1.5,4.5,4.1,4.3,4.3,1,0,1,1,0,6.1,6.4,1,0,0,7.9,2.1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
22807,0.6,27.5,40,1,1,3.2,4.9,2.9,7.3,5.8,0,0,1,1,0,2.0,6.8,2,0,0,7.9,0.5,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
34254,3.8,32.5,66,0,1,1.8,5.0,0.9,5.8,2.0,1,0,0,1,0,6.0,4.8,2,1,0,7.7,1.0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
11061,3.0,17.0,15,1,1,2.7,4.5,1.9,7.4,3.8,1,1,1,0,1,3.7,7.4,1,0,0,10.0,0.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
23055,2.6,21.6,33,0,1,2.1,1.6,3.0,6.3,2.2,1,1,1,0,1,4.9,4.3,2,0,0,1.8,2.0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
34782,1.2,17.7,110,0,1,2.9,2.6,4.0,6.1,7.0,0,0,0,0,0,1.3,4.4,2,0,1,7.4,1.7,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
12464,1.9,23.5,28,0,1,3.6,3.0,0.3,3.3,6.4,0,1,0,1,1,10.8,6.3,1,0,0,7.9,3.0,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
40741,1.9,34.4,20,0,1,4.0,0.0,1.9,3.9,5.9,1,0,1,0,1,7.5,4.8,2,0,0,4.7,0.9,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
38283,11.0,8.2,21,0,1,1.0,2.4,0.8,6.6,6.9,1,1,0,0,0,4.0,1.3,1,0,0,9.2,5.3,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
13263,1.7,6.5,15,0,1,4.5,4.2,3.6,2.9,4.2,1,1,0,1,0,9.5,7.3,3,0,1,5.7,4.4,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
19373,4.6,6.2,98,0,1,1.5,4.1,0.0,4.5,3.6,0,0,1,1,1,3.9,4.2,1,1,0,7.3,0.3,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
34249,4.4,38.9,44,0,1,1.1,4.1,1.0,4.8,5.4,0,1,1,0,0,8.5,2.9,1,0,0,8.9,1.9,0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
11645,4.0,6.8,22,1,1,2.4,1.3,0.0,3.6,6.8,0,0,1,1,1,3.6,8.0,2,0,0,6.3,4.4,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
22449,2.4,28.8,31,0,1,0.2,5.8,3.7,9.8,1.3,1,0,1,1,1,4.7,4.5,1,0,1,8.3,5.3,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
18493,5.6,8.1,12,0,1,0.6,5.9,4.2,6.6,1.6,0,1,0,1,0,4.1,5.4,1,0,1,8.4,1.2,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
27511,2.5,22.0,17,0,1,3.0,4.3,8.0,5.6,6.4,0,0,1,0,0,3.1,6.3,2,0,0,6.3,0.7,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
11792,1.9,16.2,64,0,1,3.3,3.5,5.6,6.0,4.8,0,0,1,1,0,7.4,6.5,1,0,0,8.8,0.5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
14671,6.3,10.1,143,0,1,0.9,1.1,3.4,10.0,10.0,0,0,0,1,1,7.5,2.7,2,0,0,4.3,7.3,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
6619,4.3,19.6,8,0,1,3.0,6.6,6.4,8.8,1.7,1,0,0,1,0,5.9,4.5,1,0,1,7.1,4.3,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
23312,5.5,17.5,12,0,1,0.8,4.2,0.9,4.1,2.0,0,1,0,1,1,8.8,4.7,1,0,0,9.7,0.6,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
9754,6.6,5.7,4,0,1,0.0,6.5,2.8,8.2,1.0,0,1,0,0,1,7.6,3.2,2,0,0,8.6,5.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
40254,3.9,33.4,14,0,1,6.7,4.6,7.6,5.1,6.4,0,1,1,1,1,6.7,0.5,1,0,0,8.4,4.6,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
40413,1.6,6.3,12,0,1,8.7,6.9,8.9,6.9,1.7,0,0,1,0,1,5.2,2.7,1,0,0,8.4,4.2,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
22518,1.0,5.8,15,0,1,0.3,3.4,4.4,7.2,6.7,1,1,1,1,0,8.3,5.6,1,0,1,8.9,1.6,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
25459,3.0,8.2,32,0,1,0.0,3.9,1.8,5.2,6.8,0,1,0,0,0,3.8,2.8,4,0,0,7.6,2.4,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
40910,6.1,32.0,49,0,1,0.0,1.2,0.8,7.4,4.9,1,0,0,0,0,6.7,4.3,1,0,1,6.5,3.1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
21785,2.5,16.3,41,0,1,0.0,0.5,0.0,7.7,6.4,1,1,1,0,1,12.0,5.8,1,0,1,6.9,1.9,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
7746,9.1,28.1,10,0,1,3.6,7.7,5.5,5.1,3.2,1,1,0,1,0,6.0,10.0,1,0,0,8.7,4.9,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1628,1.5,34.7,71,0,1,1.4,5.1,4.9,6.0,5.5,0,1,1,1,0,10.9,6.7,1,1,1,5.2,0.7,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
8778,12.4,6.4,48,0,1,0.0,3.5,5.8,5.4,8.5,0,0,0,1,1,1.7,4.5,1,1,1,8.3,0.9,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
9587,5.2,49.9,129,1,1,0.0,0.6,0.0,8.3,8.0,0,0,0,0,1,5.9,8.6,4,0,0,5.0,0.3,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
34672,2.8,9.4,71,0,1,4.0,6.8,0.0,2.5,10.0,1,1,0,0,1,5.1,5.0,1,0,1,7.4,2.5,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
31991,6.5,52.2,64,0,1,1.7,4.4,7.4,8.6,5.7,1,0,0,1,1,9.3,4.8,1,0,0,8.0,3.8,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
18316,4.5,34.3,28,0,1,2.9,5.2,10.0,8.4,6.0,1,1,0,0,1,5.6,2.4,1,0,0,9.5,6.0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1130,2.8,18.3,43,0,1,4.5,6.6,1.5,7.3,4.5,1,0,0,0,1,10.8,4.2,2,0,1,10.0,3.1,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
35070,4.7,9.3,5,0,1,3.3,3.6,1.2,6.0,1.4,0,0,0,0,1,3.0,4.5,1,0,0,6.5,1.5,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
38617,3.8,35.0,19,1,1,0.0,1.7,3.2,4.1,2.4,0,0,0,1,0,5.0,5.9,1,1,1,8.7,1.8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
36368,1.4,5.3,28,0,1,1.8,1.8,4.6,6.6,2.8,0,0,0,0,1,2.4,5.6,1,0,0,7.1,1.0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
24902,1.4,19.4,20,0,1,0.1,2.5,2.3,7.1,1.6,1,0,0,0,0,6.4,5.3,3,0,0,9.1,1.8,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
17259,1.8,21.9,12,0,1,4.8,5.2,6.6,5.5,6.8,1,0,0,1,1,4.0,8.5,2,0,1,7.1,3.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
36925,4.4,9.1,31,0,1,1.3,2.1,0.8,2.0,7.8,1,0,1,0,1,3.9,5.2,4,0,0,7.8,3.2,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
27862,7.6,16.6,22,0,1,4.3,2.8,3.2,4.8,6.6,1,0,1,0,0,2.3,6.6,2,0,0,4.8,1.8,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
25059,2.0,4.8,15,0,1,2.5,4.3,0.9,5.3,5.7,0,0,1,1,0,5.2,3.0,1,0,0,4.1,2.3,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
7896,3.5,14.6,41,0,1,1.6,2.2,1.1,8.0,3.4,1,1,0,0,1,7.2,2.9,3,0,0,6.3,5.1,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
28799,7.9,9.4,28,1,1,2.8,4.4,0.0,4.7,5.0,0,1,1,1,0,4.4,5.7,4,0,0,7.4,1.0,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
9931,0.5,9.5,69,0,1,2.4,4.7,0.5,7.4,4.8,0,1,1,1,1,3.3,4.4,2,0,1,10.0,3.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
29450,2.1,24.9,48,1,1,0.0,1.4,3.7,7.2,7.7,0,1,0,0,1,7.6,5.3,1,0,0,5.8,1.9,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
16284,8.0,17.6,70,0,1,7.6,4.0,4.6,5.8,4.6,1,1,0,0,0,0.4,5.2,3,0,0,8.2,0.6,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
30623,2.2,29.7,64,0,0,1.7,1.7,2.5,7.2,5.9,1,0,0,1,1,7.6,7.0,1,0,1,6.1,0.2,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
10399,4.3,24.7,26,0,1,3.7,3.0,4.9,10.0,4.0,0,0,1,0,0,10.6,4.5,2,0,0,8.7,5.5,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
1515,7.0,15.7,25,0,1,1.3,3.4,5.0,6.1,8.0,1,1,1,1,0,5.9,4.5,2,0,0,8.2,1.6,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
3962,4.3,10.1,29,0,1,4.1,2.3,4.7,2.6,4.6,0,0,1,0,1,9.8,1.9,1,0,1,6.2,0.7,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
23836,4.8,28.2,22,0,1,0.0,5.4,0.0,6.1,9.8,1,0,0,1,1,6.6,7.3,1,1,0,5.3,1.2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
35372,6.8,8.5,115,0,1,4.9,3.1,5.5,2.2,7.6,0,0,1,0,0,9.1,5.0,2,0,0,4.6,2.8,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
37703,7.7,31.6,2,0,1,4.5,4.7,9.0,3.5,1.8,1,0,0,1,1,5.0,3.9,1,0,1,5.3,0.4,0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
11326,5.0,31.9,15,0,0,0.0,7.0,1.5,6.0,7.2,0,1,1,0,1,5.8,0.0,3,0,0,3.9,6.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
22899,1.7,32.2,21,0,1,4.4,6.6,7.3,7.8,1.9,0,0,1,1,1,9.2,5.2,2,0,1,5.5,2.6,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
22810,0.8,14.2,12,0,1,3.5,1.9,7.1,6.0,3.0,0,0,0,0,1,3.3,1.2,3,0,1,9.8,4.8,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
1480,1.4,19.1,60,0,1,3.2,5.1,5.3,6.6,2.2,0,1,1,1,1,8.6,0.0,1,0,0,4.5,6.6,0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
33905,7.0,18.8,15,0,1,1.0,3.9,1.6,9.1,5.9,1,1,1,1,1,1.1,5.3,3,1,0,6.2,3.8,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
41665,10.2,25.3,120,0,1,5.4,7.8,7.6,5.1,4.1,1,0,1,0,0,4.5,5.4,1,0,0,5.9,0.3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
27994,0.7,19.4,26,0,1,2.5,2.6,3.8,6.6,4.8,1,0,0,1,1,6.2,4.1,1,0,1,6.7,2.5,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
37591,7.5,19.5,17,0,1,1.0,8.8,2.8,4.5,5.2,0,1,0,1,1,9.2,7.8,1,1,1,7.2,3.3,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
24349,3.1,29.9,17,1,1,2.4,1.2,3.6,6.5,6.7,1,0,0,0,1,6.1,5.4,1,0,0,8.4,1.1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
802,6.7,47.5,41,0,1,2.6,2.1,4.3,6.8,7.1,1,0,0,0,0,7.8,7.3,1,0,1,8.6,0.5,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
10475,10.2,31.2,7,0,1,3.8,9.3,4.0,2.9,4.9,1,1,1,0,0,8.2,4.6,2,0,1,7.6,1.7,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
